2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19799 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-01-big-img_1345 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-07-big-img_1448 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_324 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_754 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_418 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_544 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_135 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_455 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_693 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17967 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19229 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-04-big-img_811 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-01-big-img_16225 : pred total 6, gt total 11, recall 6, miss 5, FP 0
2003-01-16-big-img_428 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15295 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_108 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_477 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1354 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_246 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_652 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_553 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_346 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-04-big-img_537 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-08-big-img_498 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18956 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-13-big-img_922 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17425 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_438 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_185 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_33 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-10-big-img_252 : pred total 3, gt total 5, recall 3, miss 2, FP 0
2002-07-29-big-img_598 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19820 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2664 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_705 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_816 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_561 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-25-big-img_934 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1893 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_746 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_519 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_681 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_808 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_803 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_155 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-07-30-big-img_1107 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-29-big-img_18882 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_598 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-19-big-img_122 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_428 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_684 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_192 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_543 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-07-big-img_1318 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-18-big-img_25 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-07-26-big-img_583 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-07-20-big-img_464 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_664 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-24-big-img_861 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-09-01-big-img_16136 : pred total 7, gt total 7, recall 5, miss 2, FP 2
2002-08-22-big-img_400 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-12-big-img_445 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_174 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19677 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17214 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18175 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-17-big-img_402 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2396 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-18-big-img_448 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_165 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17609 : pred total 3, gt total 4, recall 2, miss 2, FP 1
2003-01-01-big-img_151 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_372 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15994 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_660 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15197 : pred total 1, gt total 4, recall 1, miss 3, FP 0
2002-07-29-big-img_258 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-30-big-img_18525 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2003-01-13-big-img_368 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1538 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_787 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_152 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2379 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-17-big-img_864 : pred total 3, gt total 1, recall 1, miss 0, FP 2
2002-08-27-big-img_19998 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1634 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_414 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_627 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1669 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_1052 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17796 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_199 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2002-09-02-big-img_15147 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_460 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-14-big-img_581 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18286 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-07-26-big-img_337 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_589 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-14-big-img_866 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-20-big-img_624 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-01-big-img_1801 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_683 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_725 : pred total 4, gt total 5, recall 4, miss 1, FP 0
2003-01-14-big-img_34 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_144 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-30-big-img_706 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_394 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-19-big-img_619 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2703 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_19034 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-24-big-img_67 : pred total 2, gt total 7, recall 2, miss 5, FP 0
2002-08-27-big-img_19841 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_427 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_333 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16406 : pred total 16, gt total 22, recall 13, miss 9, FP 3
2002-07-19-big-img_882 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_238 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2003-01-14-big-img_739 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_151 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_743 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_1048 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_395 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_584 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_742 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_1168 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_147 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-26-big-img_803 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3298 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-07-big-img_1451 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_424 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_1069 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16735 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_637 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_585 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-02-big-img_358 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_358 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_198 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_935 : pred total 5, gt total 6, recall 5, miss 1, FP 0
2002-08-04-big-img_42 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18245 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_158 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-22-big-img_744 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-06-big-img_2291 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3044 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-30-big-img_272 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-23-big-img_641 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_797 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_392 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_447 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_898 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2812 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_564 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-22-big-img_43 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_634 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_843 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-26-big-img_58 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_375 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_729 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_561 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_884 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-25-big-img_891 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_558 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_587 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-13-big-img_1146 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-02-big-img_15153 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_316 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1940 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-26-big-img_90 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_347 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_520 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-08-29-big-img_18718 : pred total 7, gt total 4, recall 4, miss 0, FP 3
2002-08-28-big-img_19219 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_375 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_719 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-31-big-img_17431 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_192 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_259 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-18-big-img_484 : pred total 8, gt total 7, recall 7, miss 0, FP 1
2002-07-29-big-img_580 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_84 : pred total 8, gt total 9, recall 7, miss 2, FP 1
2002-08-02-big-img_302 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17007 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_543 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-01-big-img_16488 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_798 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_383 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_668 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_156 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1353 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-07-25-big-img_281 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_587 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-15-big-img_524 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_726 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_709 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-26-big-img_465 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_658 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-28-big-img_19148 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2002-07-23-big-img_423 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_758 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_523 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-16-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_845 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_678 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_806 : pred total 9, gt total 10, recall 9, miss 1, FP 0
2002-08-06-big-img_2369 : pred total 7, gt total 5, recall 5, miss 0, FP 2
2002-07-29-big-img_457 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_278 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-30-big-img_18107 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_444 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_278 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-26-big-img_92 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_257 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_266 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3829 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-26-big-img_757 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-29-big-img_1536 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_472 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_480 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-28-big-img_19355 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_97 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-06-big-img_2503 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_254 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1470 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_42 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_217 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2459 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_717 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_586 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_411 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_768 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1747 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_385 : pred total 1, gt total 4, recall 1, miss 3, FP 0
2002-08-01-big-img_1648 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_311 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_95 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_108 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_398 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_340 : pred total 8, gt total 7, recall 7, miss 0, FP 1
2002-08-14-big-img_474 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_294 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_840 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_808 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-23-big-img_491 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-28-big-img_33 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_664 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_261 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_309 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_372 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_581 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_168 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_422 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_106 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1936 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3764 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_266 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-31-big-img_17968 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1941 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_550 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_13 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_171 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_490 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_427 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_770 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_759 : pred total 3, gt total 1, recall 1, miss 0, FP 2
2003-01-15-big-img_1360 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3692 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-16-big-img_30 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_1026 : pred total 7, gt total 5, recall 5, miss 0, FP 2
2002-07-22-big-img_288 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18801 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_793 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_178 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2322 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-14-big-img_560 : pred total 10, gt total 7, recall 6, miss 1, FP 4
2002-08-18-big-img_408 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_915 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-16-big-img_679 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_19050 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-01-big-img_2172 : pred total 2, gt total 3, recall 2, miss 1, FP 0
2002-07-31-big-img_30 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_1019 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-07-30-big-img_587 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_773 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_410 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-28-big-img_65 : pred total 3, gt total 4, recall 3, miss 1, FP 0
2002-08-05-big-img_3138 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_541 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_963 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_657 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-30-big-img_1051 : pred total 5, gt total 7, recall 5, miss 2, FP 0
2003-01-16-big-img_150 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2002-07-31-big-img_519 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_1961 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3752 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_631 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_237 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_21 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_813 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3563 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_620 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_523 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_904 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-29-big-img_18642 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_492 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-01-big-img_2130 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_618 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_305 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_520 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_495 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_164 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-03-big-img_440 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-24-big-img_441 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-06-big-img_2146 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_558 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_545 : pred total 15, gt total 15, recall 15, miss 0, FP 0
2002-08-31-big-img_18090 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_136 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-25-big-img_1099 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_728 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_197 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-26-big-img_651 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_676 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_10 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_250 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_325 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_390 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_554 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_333 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_922 : pred total 9, gt total 7, recall 7, miss 0, FP 2
2002-09-02-big-img_15586 : pred total 10, gt total 8, recall 8, miss 0, FP 2
2003-01-16-big-img_184 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_766 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_608 : pred total 1, gt total 1, recall 1, miss 0, FP 0
